Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
Glucose,0.95,4989,0,0,0.0,0.0,0.0,27.8755,16.3,0.6309
HCT,0.95,1317,10,0,0.8,0.0,0.0,2.3442,5.8,0.6184
HDL,0.95,58,0,0,0.0,0.0,0.0,4.6023,7.4,0.7244
HGB,0.95,1316,0,0,0.0,0.0,0.0,0.7604,5.6,0.6463
Iron,0.95,35,3,0,8.6,0.0,0.0,56.4805,47.0,0.6522
LDH,0.95,4910,0,0,0.0,0.0,0.0,87.9051,20.0,0.587
LDL,0.95,56,4,1,7.1,1.79,25.0,12.3109,11.6,0.7117
Lactate,0.95,470,0,0,0.0,0.0,0.0,5.1167,23.3,0.5837
Lympho_abs,0.95,1323,8,1,0.6,0.08,12.5,0.7604,23.4,0.704
MCV,0.95,1320,1203,51,91.1,3.86,4.24,1.3587,1.1,0.749
MPV,0.95,1323,946,45,71.5,3.4,4.76,0.4206,3.6,0.675
Magnesium,0.95,4921,2,0,0.0,0.0,0.0,0.1408,5.4,0.6517
Methemoglobin,0.95,475,3,0,0.6,0.0,0.0,0.1484,21.0,0.7502
Mono_abs,0.95,1319,0,0,0.0,0.0,0.0,0.2373,21.1,0.6858
NRBC_abs,0.95,1297,5,0,0.4,0.0,0.0,0.0161,94.6,0.6897
Neutro_abs,0.95,1327,3,1,0.2,0.08,33.33,1.9599,21.4,0.6742
O2_saturation,0.95,475,0,0,0.0,0.0,0.0,14.6991,15.4,0.576
Osmolality,0.95,4779,2,0,0.0,0.0,0.0,5.1512,1.3,0.5796
Oxyhemoglobin,0.95,469,0,0,0.0,0.0,0.0,14.6178,15.0,0.6076
PLT,0.95,1326,13,1,1.0,0.08,7.69,35.5708,12.8,0.6884
Phosphorus,0.95,4939,2,0,0.0,0.0,0.0,0.5651,12.1,0.673
Potassium,0.95,4947,4,0,0.1,0.0,0.0,0.3288,6.3,0.698
Protein_total,0.95,4936,4,0,0.1,0.0,0.0,0.3685,4.9,0.6823
RBC,0.95,1317,0,0,0.0,0.0,0.0,0.3889,8.8,0.5574
RDW,0.95,1325,41,3,3.1,0.23,7.32,0.5447,1.9,0.6751
Reticulo_abs,0.95,66,0,0,0.0,0.0,0.0,20.8946,28.5,0.5741
Sodium,0.95,4972,0,0,0.0,0.0,0.0,2.175,1.2,0.6316
Specific_gravity,0.95,12,0,0,0.0,0.0,0.0,0.0029,0.2,
TSH,0.95,150,0,0,0.0,0.0,0.0,2.0832,35.1,0.6186
Transferrin,0.95,34,0,0,0.0,0.0,0.0,20.8557,8.9,0.6792
Triglycerides,0.95,62,1,0,1.6,0.0,0.0,80.7457,33.5,0.5348
Troponin_I_HS,0.95,711,0,0,0.0,0.0,0.0,743.0713,158.4,0.6154
Urea,0.95,4963,0,0,0.0,0.0,0.0,11.8642,14.5,0.5749
Uric_acid,0.95,4852,53,6,1.1,0.12,11.32,0.694,9.1,0.6641
Vitamin_B12,0.95,45,0,0,0.0,0.0,0.0,208.7475,20.6,0.4831
WBC,0.95,1306,0,0,0.0,0.0,0.0,2.5695,18.8,0.6353
pCO2,0.95,931,2,2,0.2,0.21,100.0,6.5332,10.9,0.5291
pH,0.95,1010,0,0,0.0,0.0,0.0,0.0861,0.5,0.5939
pO2,0.95,930,0,0,0.0,0.0,0.0,15.6454,26.6,0.5997
