feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
Bilirubin_total__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Bilirubin_total__prev2,t__Bilirubin_total__prev2,14362
Bilirubin_total__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Bilirubin_total__prev3,t__Bilirubin_total__prev3,9986
Bilirubin_total__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Bilirubin_total__prior_count,t__Bilirubin_total__prior_count,24582
Bilirubin_total__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Bilirubin_total__slope_per_day,t__Bilirubin_total__slope_per_day,14362
Bilirubin_total__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Bilirubin_total__std_24h,t__Bilirubin_total__std_24h,72
Bilirubin_total__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Bilirubin_total__std_72h,t__Bilirubin_total__std_72h,9644
CPK__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__CPK__delta,t__CPK__delta,3282
CPK__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__CPK__first_admission,t__CPK__first_admission,10240
CPK__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__CPK__max_24h,t__CPK__max_24h,7949
CPK__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__CPK__max_72h,t__CPK__max_72h,9470
CPK__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__CPK__mean_24h,t__CPK__mean_24h,7949
CPK__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__CPK__mean_72h,t__CPK__mean_72h,9470
