Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
LDL,--,0.625,39,8,69.64,57.14,0.1095,0.3325,0.5034,-7.3,0.2011,25.0
LDL,--,0.75,9,3,16.07,21.43,0.1095,0.3325,0.5034,-7.3,0.2011,25.0
LDL,--,0.85,5,1,8.93,7.14,0.1095,0.3325,0.5034,-7.3,0.2011,25.0
LDL,--,0.875,0,0,0.0,0.0,0.1095,0.3325,0.5034,-7.3,0.2011,25.0
LDL,--,0.99,0,0,0.0,0.0,0.1095,0.3325,0.5034,-7.3,0.2011,25.0
Lactate,--,0.5,0,0,0.0,0.0,0.0037,0.0037,0.5465,0.3,0.0687,92.6
Lactate,--,0.625,0,0,0.0,0.0,0.0037,0.0037,0.5465,0.3,0.0687,92.6
Lactate,--,0.75,0,0,0.0,0.0,0.0037,0.0037,0.5465,0.3,0.0687,92.6
Lactate,--,0.85,0,0,0.0,0.0,0.0037,0.0037,0.5465,0.3,0.0687,92.6
Lactate,--,0.875,0,0,0.0,0.0,0.0037,0.0037,0.5465,0.3,0.0687,92.6
Lactate,--,0.99,0,0,0.0,0.0,0.0037,0.0037,0.5465,0.3,0.0687,92.6
Lympho_abs,--,0.5,1278,145,96.6,79.67,0.0128,0.1025,0.7484,21.1,0.0936,13.8
Lympho_abs,--,0.625,1222,118,92.37,64.84,0.0128,0.1025,0.7484,21.1,0.0936,13.8
Lympho_abs,--,0.75,1222,118,92.37,64.84,0.0128,0.1025,0.7484,21.1,0.0936,13.8
Lympho_abs,--,0.85,1109,96,83.82,52.75,0.0128,0.1025,0.7484,21.1,0.0936,13.8
Lympho_abs,--,0.875,778,54,58.81,29.67,0.0128,0.1025,0.7484,21.1,0.0936,13.8
Lympho_abs,--,0.99,1,0,0.08,0.0,0.0128,0.1025,0.7484,21.1,0.0936,13.8
MCV,--,0.5,1320,159,100.0,100.0,0.0952,0.4792,0.8206,-3.2,0.1093,12.0
MCV,--,0.625,1320,159,100.0,100.0,0.0952,0.4792,0.8206,-3.2,0.1093,12.0
MCV,--,0.75,1320,159,100.0,100.0,0.0952,0.4792,0.8206,-3.2,0.1093,12.0
MCV,--,0.85,1300,151,98.48,94.97,0.0952,0.4792,0.8206,-3.2,0.1093,12.0
MCV,--,0.875,1300,151,98.48,94.97,0.0952,0.4792,0.8206,-3.2,0.1093,12.0
MCV,--,0.99,1,0,0.08,0.0,0.0952,0.4792,0.8206,-3.2,0.1093,12.0
MPV,--,0.5,1318,126,99.62,98.44,0.0336,0.7707,0.7193,8.9,0.0796,9.7
MPV,--,0.625,1283,104,96.98,81.25,0.0336,0.7707,0.7193,8.9,0.0796,9.7
MPV,--,0.75,1281,102,96.83,79.69,0.0336,0.7707,0.7193,8.9,0.0796,9.7
MPV,--,0.85,1279,100,96.67,78.12,0.0336,0.7707,0.7193,8.9,0.0796,9.7
MPV,--,0.875,1246,88,94.18,68.75,0.0336,0.7707,0.7193,8.9,0.0796,9.7
MPV,--,0.99,1,0,0.08,0.0,0.0336,0.7707,0.7193,8.9,0.0796,9.7
Magnesium,--,0.5,4648,1077,94.45,85.61,0.0124,0.1746,0.6479,8.1,0.1749,25.6
Magnesium,--,0.625,4166,880,84.66,69.95,0.0124,0.1746,0.6479,8.1,0.1749,25.6
Magnesium,--,0.75,3595,718,73.05,57.07,0.0124,0.1746,0.6479,8.1,0.1749,25.6
Magnesium,--,0.85,63,13,1.28,1.03,0.0124,0.1746,0.6479,8.1,0.1749,25.6
Magnesium,--,0.875,63,13,1.28,1.03,0.0124,0.1746,0.6479,8.1,0.1749,25.6
Magnesium,--,0.99,4,1,0.08,0.08,0.0124,0.1746,0.6479,8.1,0.1749,25.6
Methemoglobin,--,0.5,449,59,94.53,77.63,0.0381,0.8,0.7038,16.5,0.1122,16.0
Methemoglobin,--,0.625,448,58,94.32,76.32,0.0381,0.8,0.7038,16.5,0.1122,16.0
Methemoglobin,--,0.75,418,45,88.0,59.21,0.0381,0.8,0.7038,16.5,0.1122,16.0
Methemoglobin,--,0.85,379,38,79.79,50.0,0.0381,0.8,0.7038,16.5,0.1122,16.0
Methemoglobin,--,0.875,332,34,69.89,44.74,0.0381,0.8,0.7038,16.5,0.1122,16.0
Methemoglobin,--,0.99,1,0,0.21,0.0,0.0381,0.8,0.7038,16.5,0.1122,16.0
Mono_abs,--,0.5,1253,300,95.0,87.46,0.0264,0.35,0.6714,8.8,0.1755,26.0
Mono_abs,--,0.625,1251,299,94.84,87.17,0.0264,0.35,0.6714,8.8,0.1755,26.0
Mono_abs,--,0.75,1001,194,75.89,56.56,0.0264,0.35,0.6714,8.8,0.1755,26.0
Mono_abs,--,0.85,207,30,15.69,8.75,0.0264,0.35,0.6714,8.8,0.1755,26.0
Mono_abs,--,0.875,40,9,3.03,2.62,0.0264,0.35,0.6714,8.8,0.1755,26.0
Mono_abs,--,0.99,0,0,0.0,0.0,0.0264,0.35,0.6714,8.8,0.1755,26.0
NRBC_abs,--,0.5,1234,157,95.14,78.89,0.0366,0.5367,0.6261,9.8,0.1171,15.3
NRBC_abs,--,0.625,1232,156,94.99,78.39,0.0366,0.5367,0.6261,9.8,0.1171,15.3
NRBC_abs,--,0.75,1140,138,87.9,69.35,0.0366,0.5367,0.6261,9.8,0.1171,15.3
NRBC_abs,--,0.85,1139,138,87.82,69.35,0.0366,0.5367,0.6261,9.8,0.1171,15.3
NRBC_abs,--,0.875,959,105,73.94,52.76,0.0366,0.5367,0.6261,9.8,0.1171,15.3
